,test_case,iteration_no,num_vehicles,total_distance,objective
0,X-n101-k25,1,30,35560.0,65560.0
1,X-n106-k14,1,15,32498.0,47498.0
2,X-n110-k13,1,13,16477.0,29477.0
3,X-n115-k10,1,11,16715.0,27715.0
4,X-n120-k6,1,6,16609.0,22609.0
5,X-n125-k30,1,37,71329.0,108329.0
6,X-n129-k18,1,19,38029.0,57029.0
7,X-n134-k13,1,14,15032.0,29032.0
8,X-n139-k10,1,10,15669.0,25669.0
9,X-n143-k7,1,7,19442.0,26442.0
10,X-n148-k46,1,54,56693.0,110693.0
11,X-n153-k22,1,29,28151.0,57151.0
12,X-n157-k13,1,13,18949.0,31949.0
13,X-n162-k11,1,11,15945.0,26945.0
14,X-n167-k10,1,10,26745.0,36745.0
15,X-n172-k51,1,63,60386.0,123386.0
16,X-n176-k26,1,33,69694.0,102694.0
17,X-n181-k23,1,23,29513.0,52513.0
18,X-n186-k15,1,15,29979.0,44979.0
19,X-n190-k8,1,8,19605.0,27605.0
20,X-n195-k51,1,62,59239.0,121239.0
21,X-n200-k36,1,39,69567.0,108567.0
22,X-n204-k19,1,19,23810.0,42810.0
23,X-n209-k16,1,16,37247.0,53247.0
24,X-n214-k11,1,12,14174.0,26174.0
25,X-n219-k73,1,73,145757.0,218757.0
26,X-n223-k34,1,37,49734.0,86734.0
27,X-n228-k23,1,28,34448.0,62448.0
28,X-n233-k16,1,17,23582.0,40582.0
29,X-n237-k14,1,14,33967.0,47967.0
30,X-n242-k48,1,53,112316.0,165316.0
31,X-n247-k50,1,65,53603.0,118603.0
32,X-n251-k28,1,29,46912.0,75912.0
33,X-n256-k16,1,17,22345.0,39345.0
34,X-n261-k13,1,13,33011.0,46011.0
35,X-n266-k58,1,64,106343.0,170343.0
36,X-n270-k35,1,38,41894.0,79894.0
37,X-n275-k28,1,28,25870.0,53870.0
38,X-n280-k17,1,21,49942.0,70942.0
39,X-n284-k15,1,15,26165.0,41165.0
40,X-n289-k60,1,69,140053.0,209053.0
41,X-n294-k50,1,55,58981.0,113981.0
42,X-n298-k31,1,33,43096.0,76096.0
43,X-n303-k21,1,21,25929.0,46929.0
44,X-n308-k13,1,13,33401.0,46401.0
45,X-n313-k71,1,82,118576.0,200576.0
46,X-n317-k53,1,53,96491.0,149491.0
47,X-n322-k28,1,29,36198.0,65198.0
48,X-n327-k20,1,20,35936.0,55936.0
49,X-n331-k15,1,15,38011.0,53011.0
50,X-n336-k84,1,98,204601.0,302601.0
51,X-n344-k43,1,46,50809.0,96809.0
52,X-n351-k40,1,43,33809.0,76809.0
53,X-n359-k29,1,30,67666.0,97666.0
54,X-n367-k17,1,18,30336.0,48336.0
55,X-n376-k94,1,94,188881.0,282881.0
56,X-n384-k52,1,56,89118.0,145118.0
57,X-n393-k38,1,39,46258.0,85258.0
58,X-n401-k29,1,30,77688.0,107688.0
59,X-n101-k25,2,30,34903.0,64903.0
60,X-n106-k14,2,14,30338.0,44338.0
61,X-n110-k13,2,13,17285.0,30285.0
62,X-n115-k10,2,11,16308.0,27308.0
63,X-n120-k6,2,6,16609.0,22609.0
64,X-n125-k30,2,36,69670.0,105670.0
65,X-n129-k18,2,19,37782.0,56782.0
66,X-n134-k13,2,14,14380.0,28380.0
67,X-n139-k10,2,10,15679.0,25679.0
68,X-n143-k7,2,7,19941.0,26941.0
69,X-n148-k46,2,54,56693.0,110693.0
70,X-n153-k22,2,29,28678.0,57678.0
71,X-n157-k13,2,13,18949.0,31949.0
72,X-n162-k11,2,11,16133.0,27133.0
73,X-n167-k10,2,10,26154.0,36154.0
74,X-n172-k51,2,63,59954.0,122954.0
75,X-n176-k26,2,33,69690.0,102690.0
76,X-n181-k23,2,23,29539.0,52539.0
77,X-n186-k15,2,15,29261.0,44261.0
78,X-n190-k8,2,8,20374.0,28374.0
79,X-n195-k51,2,62,59110.0,121110.0
80,X-n200-k36,2,39,69563.0,108563.0
81,X-n204-k19,2,19,23805.0,42805.0
82,X-n209-k16,2,16,37087.0,53087.0
83,X-n214-k11,2,12,14202.0,26202.0
84,X-n219-k73,2,73,145761.0,218761.0
85,X-n223-k34,2,36,49671.0,85671.0
86,X-n228-k23,2,28,34507.0,62507.0
87,X-n233-k16,2,17,23716.0,40716.0
88,X-n237-k14,2,14,34641.0,48641.0
89,X-n242-k48,2,53,110733.0,163733.0
90,X-n247-k50,2,65,53499.0,118499.0
91,X-n251-k28,2,29,46975.0,75975.0
92,X-n256-k16,2,17,22142.0,39142.0
93,X-n261-k13,2,13,33079.0,46079.0
94,X-n266-k58,2,64,107328.0,171328.0
95,X-n270-k35,2,38,41703.0,79703.0
96,X-n275-k28,2,28,25707.0,53707.0
97,X-n280-k17,2,20,48661.0,68661.0
98,X-n284-k15,2,15,26099.0,41099.0
99,X-n289-k60,2,69,140315.0,209315.0
100,X-n294-k50,2,56,59479.0,115479.0
101,X-n298-k31,2,33,43089.0,76089.0
102,X-n303-k21,2,21,25940.0,46940.0
103,X-n308-k13,2,13,33664.0,46664.0
104,X-n313-k71,2,82,118456.0,200456.0
105,X-n317-k53,2,53,95014.0,148014.0
106,X-n322-k28,2,29,35748.0,64748.0
107,X-n327-k20,2,20,35936.0,55936.0
108,X-n331-k15,2,15,38899.0,53899.0
109,X-n336-k84,2,98,204774.0,302774.0
110,X-n344-k43,2,46,50439.0,96439.0
